hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
27, 1800.00000, 11.4698, 20.0478, 7.72721, 26.0958, 9.32824, 2.11107, 0, 0
28, 0.00000, 11.0446, 23.3743, 6.15434, 28.3378, 9.05669, -2.77415, 0, 0
28, 1800.00000, 13.8415, 20.0187, 7.90717, 36.0714, 9.83002, -6.01869, 0, 0
29, 0.00000, 11.6161, 18.9945, 7.8456, 34.2889, 8.18546, 1.41925, 0, 0
29, 1800.00000, 14.4136, 22.0689, 10.6624, 24.7542, 12.4721, 8.09746, 0, 0
30, 0.00000, 17.7332, 23.1195, 11.1642, 30.5077, 14.1039, 2.11348, 0, 0
30, 1800.00000, 22.9558, 20.9086, 15.3611, 31.4519, 17.4639, 2.89437, 0, 0
31, 0.00000, 32.4687, 24.7719, 17.14, 36.9264, 24.5503, -4.01479, 0, 0
31, 1800.00000, 30.6157, 30.0828, 18.0646, 19.9946, 29.8035, 4.8129, 0, 0
32, 0.00000, 32.336, 26.2095, 25.5866, 16.4474, 33.5937, 11.8033, 0, 0
32, 1800.00000, 30.6339, 25.0236, 25.101, 18.8622, 30.781, 13.2519, 0, 0
33, 0.00000, 22.1844, 37.7559, 15.4383, 10.9275, 26.3194, 13.5653, 0, 0
33, 1800.00000, 14.7859, 35.1004, 11.7075, 23.4225, 15.7126, 20.1038, 0, 0
34, 0.00000, 22.2656, 22.2851, 17.8157, 32.9924, 17.2068, 14.0403, 0, 0
34, 1800.00000, 21.3253, 27.3604, 13.7682, 41.5186, 15.3507, 7.45042, 0, 0
35, 0.00000, 20.7774, 34.1131, 9.89135, 45.7493, 16.0288, 1.59234, 0, 0
35, 1800.00000, 22.8698, 30.2961, 12.549, 40.0382, 17.7233, 3.30495, 0, 0
36, 0.00000, 21.3866, 27.6872, 11.9276, 37.6405, 16.5077, 1.34566, 0, 0
36, 1800.00000, 22.7094, 24.586, 14.6573, 37.6011, 16.6399, 4.72271, 0, 0
37, 0.00000, 20.4909, 26.1159, 17.205, 22.9797, 19.9356, 16.46, 0, 0
37, 1800.00000, 18.3165, 26.7899, 16.209, 20.269, 19.0183, 18.1986, 0, 0
38, 0.00000, 23.0741, 19.8797, 19.3795, 27.6608, 18.9842, 13.7041, 0, 0
38, 1800.00000, 16.2797, 16.567, 20.0725, 15.7176, 18.6919, 26.2268, 0, 0
39, 0.00000, 16.1386, 18.6846, 17.5312, 18.1913, 17.001, 22.499, 0, 0
39, 1800.00000, 18.2075, 11.3516, 23.3866, 12.8439, 20.8149, 24.6485, 0, 0
40, 0.00000, 22.9333, 12.6037, 25.734, 14.4144, 23.7865, 19.4245, 0, 0
40, 1800.00000, 33.8489, 11.1821, 33.0352, 15.5112, 31.2442, 12.0371, 0, 0
41, 0.00000, 46.685, 11.9345, 41.2687, 16.9609, 40.9033, 7.70458, 0, 0
41, 1800.00000, 65.6216, 13.306, 56.9776, 19.6239, 55.948, 8.54636, 0, 0
42, 0.00000, 74.0684, 11.4908, 66.206, 20.5551, 60.8069, 9.34902, 0, 0
42, 1800.00000, 71.2924, 16.7684, 51.8807, 23.7945, 57.7294, 2.72764, 0, 0
43, 0.00000, 65.0835, 18.4072, 49.4037, 19.2051, 58.2485, 5.22292, 0, 0
43, 1800.00000, 67.4256, 18.239, 54.0957, 17.1754, 62.8585, 7.13771, 0, 0
44, 0.00000, 58.0922, 14.6897, 49.1966, 19.5631, 50.3156, 8.10243, 0, 0
44, 1800.00000, 52.3253, 9.35889, 52.5806, 19.0522, 44.608, 14.5486, 0, 0
45, 0.00000, 43.3025, 12.5898, 43.3905, 14.5125, 42.0831, 13.663, 0, 0
45, 1800.00000, 44.8935, 15.0456, 44.3746, 11.7957, 46.8075, 12.8672, 0, 0
46, 0.00000, 47.4486, 17.4788, 41.9111, 12.263, 48.3939, 9.30821, 0, 0
46, 1800.00000, 43.549, 21.7707, 31.4192, 15.577, 42.2128, 4.69212, 0, 0
47, 0.00000, 36.5022, 24.3563, 20.5957, 21.8789, 32.6235, -1.58389, 0, 0
47, 1800.00000, 25.5372, 24.4888, 17.4619, 11.6682, 26.3487, 3.75878, 0, 0
48, 0.00000, 22.7285, 25.1232, 16.7931, 10.1122, 24.5249, 6.51386, 0, 0
48, 1800.00000, 20.3078, 27.3106, 13.3588, 11.3008, 21.4478, 4.47848, 0, 0
49, 0.00000, 16.6806, 21.0782, 11.7523, 18.9513, 15.272, 3.94947, 0, 0
49, 1800.00000, 10.9052, 22.8013, 6.73218, 32.1657, 8.43655, 0.910165, 0, 0
50, 0.00000, 10.5643, 25.8059, 5.98218, 30.4659, 8.69292, 0.289599, 0, 0
50, 1800.00000, 10.1966, 29.5152, 4.97331, 29.2244, 8.85994, -1.30354, 0, 0
51, 0.00000, 8.9882, 28.7744, 4.8694, 26.0663, 8.02493, 1.40749, 0, 0
51, 1800.00000, 11.4028, 26.176, 6.3662, 30.462, 9.42549, 0.106475, 0, 0
52, 0.00000, 12.3577, 21.3742, 7.65426, 34.9748, 8.99548, -0.563257, 0, 0
52, 1800.00000, 11.6228, 25.5748, 6.43715, 31.9516, 9.37321, -0.845627, 0, 0
53, 0.00000, 10.4074, 18.4079, 10.3485, 14.0141, 11.0592, 15.9491, 0, 0
53, 1800.00000, 13.8601, 24.0461, 8.44813, 28.4741, 11.454, 1.53152, 0, 0
54, 0.00000, 16.0564, 27.318, 10.5917, 20.8552, 15.3077, 6.68845, 0, 0
54, 1800.00000, 15.0265, 25.3789, 10.3979, 22.2607, 13.8832, 7.29694, 0, 0
55, 0.00000, 22.8814, 29.3546, 9.95137, 35.808, 18.7805, -5.4069, 0, 0
55, 1800.00000, 27.6273, 27.571, 14.342, 32.0916, 22.825, -1.23209, 0, 0
56, 0.00000, 32.8829, 31.6626, 17.2313, 26.617, 30.0325, 3.0033, 0, 0
