hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
27, 1800.00000, 10.3021, 20.8254, 8.13687, 18.2495, 9.75474, 8.59445, 0, 0
28, 0.00000, 9.43306, 21.0464, 7.27693, 18.2112, 8.90403, 7.69427, 0, 0
28, 1800.00000, 11.0168, 20.6662, 8.85517, 18.217, 10.4676, 9.26203, 0, 0
29, 0.00000, 8.98985, 18.2782, 8.94544, 18.2167, 8.9761, 18.0019, 0, 0
29, 1800.00000, 12.3914, 18.2227, 12.3913, 18.2226, 12.3913, 18.2224, 0, 0
30, 0.00000, 13.9731, 18.2209, 13.9801, 18.2272, 13.9753, 18.2487, 0, 0
30, 1800.00000, 18.1501, 18.2524, 18.148, 18.2302, 18.1551, 18.2354, 0, 0
31, 0.00000, 23.4529, 18.244, 23.4529, 18.244, 23.4529, 18.244, 0, 0
31, 1800.00000, 25.4081, 18.2605, 25.4173, 18.2603, 25.4128, 18.2783, 0, 0
32, 0.00000, 29.1695, 18.6916, 30.4975, 16.3864, 30.8829, 19.6462, 0, 0
32, 1800.00000, 26.8775, 19.5932, 29.3695, 15.8623, 29.7616, 21.8041, 0, 0
33, 0.00000, 18.5407, 21.4794, 21.9144, 16.1942, 21.9983, 26.2571, 0, 0
33, 1800.00000, 11.1994, 25.8039, 15.6277, 17.5782, 15.4798, 35.3945, 0, 0
34, 0.00000, 16.6636, 22.8251, 20.1522, 17.9022, 19.9719, 28.8412, 0, 0
34, 1800.00000, 15.3025, 23.9188, 17.1123, 23.0204, 16.4986, 28.9002, 0, 0
35, 0.00000, 14.4037, 26.2606, 14.6619, 24.6902, 14.8774, 26.3288, 0, 0
35, 1800.00000, 16.6356, 24.782, 16.893, 22.3708, 17.3719, 24.3004, 0, 0
36, 0.00000, 16.1056, 16.1706, 17.1458, 24.5438, 14.5102, 24.0722, 0, 0
36, 1800.00000, 16.664, 16.6854, 19.2225, 22.2966, 16.5562, 27.4071, 0, 0
37, 0.00000, 17.177, 21.4098, 20.2993, 17.2605, 20.0702, 26.9123, 0, 0
37, 1800.00000, 16.6945, 22.7432, 18.1085, 18.3915, 18.5688, 24.2613, 0, 0
38, 0.00000, 20.6777, 22.8761, 19.4016, 20.0471, 20.9197, 18.4697, 0, 0
38, 1800.00000, 16.5425, 21.1039, 18.7437, 14.4794, 19.4614, 23.2122, 0, 0
39, 0.00000, 15.0266, 21.1824, 17.5572, 14.0321, 18.1378, 24.2801, 0, 0
39, 1800.00000, 17.0132, 16.2014, 22.7169, 8.47474, 22.6275, 24.4186, 0, 0
40, 0.00000, 21.5651, 11.8105, 26.5996, 12.2339, 24.3147, 22.3853, 0, 0
40, 1800.00000, 30.1696, 11.716, 34.4821, 9.88041, 33.4112, 17.1594, 0, 0
41, 0.00000, 40.9767, 12.3813, 43.6043, 10.0805, 43.7982, 14.1716, 0, 0
41, 1800.00000, 58.6084, 13.2863, 59.8369, 13.7206, 58.8385, 14.5469, 0, 0
42, 0.00000, 69.0183, 8.45606, 71.1856, 17.973, 59.842, 15.1579, 0, 0
42, 1800.00000, 62.3004, 11.0193, 60.8118, 18.5951, 54.4219, 13.4372, 0, 0
43, 0.00000, 58.5091, 12.1944, 57.8234, 16.682, 54.1948, 13.8167, 0, 0
43, 1800.00000, 60.0709, 12.3688, 62.9893, 14.3278, 59.7453, 15.8134, 0, 0
44, 0.00000, 54.516, 11.1364, 53.5714, 17.7714, 48.5614, 13.4862, 0, 0
44, 1800.00000, 51.568, 9.92836, 52.1286, 18.3172, 45.1579, 14.803, 0, 0
45, 0.00000, 44.3948, 8.56034, 45.6242, 17.5586, 38.78, 14.7387, 0, 0
45, 1800.00000, 46.7507, 10.2282, 46.7066, 16.3032, 42.3837, 13.2369, 0, 0
46, 0.00000, 46.8628, 11.394, 46.3345, 15.0698, 43.9961, 12.6383, 0, 0
46, 1800.00000, 38.9524, 15.598, 37.3819, 13.6842, 39.2918, 12.667, 0, 0
47, 0.00000, 28.7218, 17.0659, 28.0032, 12.5801, 30.2684, 13.6609, 0, 0
47, 1800.00000, 22.4511, 16.6318, 21.828, 10.9753, 24.0095, 12.5431, 0, 0
