hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
28, 0.00000, 8.8722, 21.5976, 6.16622, 28.2972, 7.16771, 5.22041, 0, 0
28, 1800.00000, 11.6828, 18.0278, 7.91942, 36.0099, 7.86066, 0.465799, 0, 0
29, 0.00000, 11.5718, 18.9468, 7.84617, 34.2889, 8.14621, 1.58349, 0, 0
29, 1800.00000, 14.4136, 22.0689, 10.6624, 24.7542, 12.4721, 8.09747, 0, 0
30, 0.00000, 17.7332, 23.1195, 11.1642, 30.5077, 14.1039, 2.11348, 0, 0
30, 1800.00000, 22.9558, 20.9086, 15.3611, 31.4519, 17.4639, 2.89437, 0, 0
31, 0.00000, 32.4687, 24.7719, 17.14, 36.9264, 24.5503, -4.01479, 0, 0
31, 1800.00000, 30.6157, 30.0828, 18.0646, 19.9946, 29.8035, 4.8129, 0, 0
32, 0.00000, 32.3879, 26.1825, 24.5072, 19.1482, 32.1104, 10.8203, 0, 0
32, 1800.00000, 30.7112, 24.9945, 23.6522, 23.0147, 28.6518, 11.7836, 0, 0
33, 0.00000, 22.2339, 37.6915, 13.8216, 16.9885, 24.2161, 11.9427, 0, 0
33, 1800.00000, 14.8211, 35.0868, 10.527, 33.0841, 13.5683, 18.3262, 0, 0
34, 0.00000, 22.3118, 22.2945, 17.043, 38.5551, 15.4656, 11.9908, 0, 0
34, 1800.00000, 20.8737, 27.277, 13.773, 41.5071, 14.9897, 8.49419, 0, 0
35, 0.00000, 18.4579, 34.4718, 9.90923, 45.6873, 14.077, 6.46085, 0, 0
35, 1800.00000, 20.5136, 30.3494, 12.5015, 40.0342, 15.8099, 7.85645, 0, 0
36, 0.00000, 17.4265, 36.6433, 8.60492, 40.1182, 14.5802, 6.13636, 0, 0
36, 1800.00000, 21.0337, 29.9819, 12.2104, 38.8806, 16.4131, 5.3824, 0, 0
37, 0.00000, 20.3367, 26.8798, 15.9788, 27.2543, 18.4527, 15.227, 0, 0
37, 1800.00000, 17.1145, 26.5132, 15.5325, 23.3507, 17.1517, 20.4164, 0, 0
38, 0.00000, 19.963, 18.1712, 19.3585, 27.831, 16.7368, 21.1408, 0, 0
38, 1800.00000, 15.6851, 16.0193, 18.5113, 20.7801, 16.048, 27.3913, 0, 0
39, 0.00000, 16.1862, 18.7008, 15.9944, 24.6413, 14.6272, 21.0086, 0, 0
39, 1800.00000, 17.1642, 14.8563, 17.7118, 24.8173, 14.7603, 21.7799, 0, 0
40, 0.00000, 20.0664, 19.7247, 18.4056, 22.5916, 18.4575, 16.6245, 0, 0
40, 1800.00000, 25.647, 16.8989, 21.5346, 27.6131, 20.0365, 11.5086, 0, 0
41, 0.00000, 33.4266, 16.7788, 26.5822, 29.2381, 25.0088, 8.50533, 0, 0
41, 1800.00000, 50.347, 17.729, 41.4214, 26.3867, 40.6048, 10.6285, 0, 0
42, 0.00000, 54.2408, 21.4889, 43.9876, 22.0391, 49.5536, 11.3803, 0, 0
42, 1800.00000, 54.7443, 24.4385, 36.665, 25.311, 47.8326, 5.61498, 0, 0
43, 0.00000, 50.2226, 25.3558, 35.1867, 21.976, 46.7044, 7.70561, 0, 0
43, 1800.00000, 53.7327, 24.667, 37.7869, 22.9377, 48.9625, 7.50698, 0, 0
44, 0.00000, 43.3346, 22.3438, 35.1899, 20.8193, 40.7926, 11.6719, 0, 0
44, 1800.00000, 38.8799, 17.4243, 38.5472, 19.3113, 37.6087, 17.9295, 0, 0
45, 0.00000, 30.9534, 23.982, 29.2049, 14.0209, 34.5149, 16.5972, 0, 0
45, 1800.00000, 31.0975, 25.3598, 29.9035, 12.0658, 36.4151, 17.1749, 0, 0
46, 0.00000, 33.1769, 26.5123, 27.5625, 14.7043, 35.9136, 13.2942, 0, 0
46, 1800.00000, 33.741, 25.6906, 23.3855, 21.8242, 31.4902, 7.50896, 0, 0
47, 0.00000, 30.4403, 26.58, 16.0399, 32.5794, 24.726, -1.73898, 0, 0
47, 1800.00000, 19.7212, 28.0793, 12.3398, 21.627, 18.63, 5.46492, 0, 0
48, 0.00000, 19.2343, 29.8114, 11.5883, 19.8232, 18.7618, 5.27965, 0, 0
48, 1800.00000, 16.8889, 33.0902, 9.69383, 15.2522, 17.6192, 5.61029, 0, 0
49, 0.00000, 13.876, 25.4192, 8.95197, 25.1006, 12.2382, 4.8832, 0, 0
