hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
27, 1800.00000, 9.32595, 17.5781, 7.74653, 26.0204, 7.56126, 10.9575, 0, 0
28, 0.00000, 8.8722, 21.5976, 6.16622, 28.2972, 7.16771, 5.22041, 0, 0
28, 1800.00000, 11.6828, 18.0278, 7.91942, 36.0099, 7.86066, 0.465799, 0, 0
29, 0.00000, 11.5718, 18.9468, 7.84617, 34.2889, 8.14621, 1.58349, 0, 0
29, 1800.00000, 14.4136, 22.0689, 10.6624, 24.7542, 12.4721, 8.09747, 0, 0
30, 0.00000, 17.7403, 23.1226, 11.1641, 30.5078, 14.11, 2.09824, 0, 0
30, 1800.00000, 22.9606, 20.8944, 15.3684, 31.452, 17.4637, 2.89417, 0, 0
31, 0.00000, 32.4687, 24.7719, 17.14, 36.9264, 24.5503, -4.01479, 0, 0
31, 1800.00000, 30.6498, 30.0575, 18.0896, 19.971, 29.8374, 4.797, 0, 0
32, 0.00000, 33.2804, 25.6155, 25.2381, 18.6657, 32.9817, 10.3665, 0, 0
32, 1800.00000, 33.704, 23.3685, 25.7725, 21.5498, 31.3186, 9.87927, 0, 0
33, 0.00000, 27.5239, 31.7713, 17.6648, 14.3561, 29.2997, 7.78809, 0, 0
33, 1800.00000, 23.279, 25.2392, 16.0248, 22.7658, 21.3159, 7.05685, 0, 0
34, 0.00000, 29.65, 18.6423, 21.5688, 30.8805, 22.0336, 5.15517, 0, 0
34, 1800.00000, 28.4617, 22.011, 18.4596, 31.0815, 22.1248, 2.42748, 0, 0
35, 0.00000, 26.6264, 26.2399, 14.9589, 29.8054, 22.2089, 0.400713, 0, 0
35, 1800.00000, 28.1514, 24.1566, 17.1762, 30.0316, 22.8432, 1.72393, 0, 0
36, 0.00000, 24.1587, 28.0476, 13.0845, 27.5559, 21.0755, 0.75986, 0, 0
36, 1800.00000, 27.3339, 24.5041, 16.1477, 30.9546, 22.0085, 0.702444, 0, 0
37, 0.00000, 26.2303, 22.3376, 19.8597, 23.3752, 23.363, 9.10429, 0, 0
37, 1800.00000, 22.7774, 21.8237, 19.3192, 19.7866, 21.8996, 13.0136, 0, 0
38, 0.00000, 25.3108, 15.8934, 22.7138, 24.7536, 20.8685, 13.8864, 0, 0
38, 1800.00000, 19.3368, 14.3446, 20.89, 19.2275, 18.6614, 21.0299, 0, 0
39, 0.00000, 19.4583, 16.3019, 18.375, 22.2396, 17.2246, 16.0647, 0, 0
39, 1800.00000, 19.6193, 13.636, 19.44, 23.1382, 16.6648, 17.8446, 0, 0
40, 0.00000, 21.7862, 18.6869, 19.6453, 21.3525, 19.9685, 14.6193, 0, 0
40, 1800.00000, 26.3662, 16.7056, 21.9848, 27.0492, 20.7005, 10.8058, 0, 0
41, 0.00000, 33.4293, 16.7741, 26.5866, 29.2363, 25.0098, 8.50626, 0, 0
41, 1800.00000, 50.347, 17.729, 41.4214, 26.3867, 40.6048, 10.6285, 0, 0
42, 0.00000, 54.2408, 21.4889, 43.9876, 22.0391, 49.5536, 11.3803, 0, 0
42, 1800.00000, 54.7443, 24.4385, 36.665, 25.311, 47.8326, 5.61498, 0, 0
43, 0.00000, 50.2347, 25.3494, 35.1942, 21.9787, 46.7101, 7.69992, 0, 0
43, 1800.00000, 53.7327, 24.667, 37.7869, 22.9377, 48.9625, 7.50698, 0, 0
44, 0.00000, 43.3422, 22.3457, 35.1896, 20.8193, 40.7986, 11.6647, 0, 0
44, 1800.00000, 38.8799, 17.4243, 38.5472, 19.3113, 37.6087, 17.9295, 0, 0
45, 0.00000, 30.9614, 23.982, 29.2059, 14.0216, 34.52, 16.5884, 0, 0
45, 1800.00000, 31.0975, 25.3598, 29.9035, 12.0658, 36.4151, 17.1749, 0, 0
46, 0.00000, 33.1769, 26.5123, 27.5625, 14.7043, 35.9136, 13.2942, 0, 0
46, 1800.00000, 33.7483, 25.6918, 23.3854, 21.8243, 31.4961, 7.50096, 0, 0
47, 0.00000, 30.4403, 26.58, 16.0399, 32.5794, 24.726, -1.73898, 0, 0
47, 1800.00000, 19.7212, 28.0793, 12.3398, 21.627, 18.63, 5.46492, 0, 0
48, 0.00000, 19.2343, 29.8114, 11.5883, 19.8232, 18.7618, 5.27965, 0, 0
48, 1800.00000, 16.8888, 33.0904, 9.69966, 15.2174, 17.6267, 5.62177, 0, 0
49, 0.00000, 13.876, 25.4192, 8.95197, 25.1006, 12.2382, 4.8832, 0, 0
49, 1800.00000, 10.9052, 22.8013, 6.73217, 32.1655, 8.43653, 0.910367, 0, 0
50, 0.00000, 10.5643, 25.8059, 5.98218, 30.4659, 8.69292, 0.289599, 0, 0
50, 1800.00000, 10.1966, 29.5152, 4.97331, 29.2244, 8.85994, -1.30354, 0, 0
51, 0.00000, 8.9882, 28.7744, 4.8694, 26.0663, 8.02493, 1.40749, 0, 0
51, 1800.00000, 11.4138, 26.149, 6.37325, 30.4624, 9.4315, 0.0851266, 0, 0
52, 0.00000, 12.3577, 21.3742, 7.65426, 34.9748, 8.99548, -0.563257, 0, 0
52, 1800.00000, 11.6307, 25.5767, 6.40383, 32.5185, 9.31846, -1.09562, 0, 0
